,start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,pitches,timbre
42,14.34367,0.17492,0.592,-32.535,0.03226,-26.887,0.0,"[0.106, 0.065, 0.41, 0.037, 0.078, 1.0, 0.039, 0.024, 0.013, 0.115, 0.037, 0.012]","[31.007, -169.086, 118.774, 36.106, 101.422, -27.462, 20.441, 7.413, 16.054, 16.149, -4.63, -27.079]"
43,14.51859,0.16812,0.29,-32.342,0.02446,-27.416,0.0,"[0.192, 0.117, 0.354, 0.071, 0.123, 1.0, 0.087, 0.093, 0.121, 0.681, 0.112, 0.056]","[29.239, -131.837, 124.117, 82.535, 92.93, -54.912, 25.179, 18.635, 13.142, 0.875, -12.214, -25.77]"
44,14.68671,0.19737,0.876,-35.877,0.00834,-24.446,0.0,"[0.487, 0.241, 0.358, 0.121, 0.822, 1.0, 0.109, 0.135, 0.132, 0.405, 0.154, 0.153]","[31.361, -9.668, 157.761, 107.412, 32.867, -42.581, 33.307, 8.618, -41.363, -14.407, -5.17, 4.818]"
45,14.88408,0.26236,0.646,-35.073,0.08608,-24.719,0.0,"[0.259, 0.235, 1.0, 0.09, 0.209, 0.778, 0.069, 0.049, 0.092, 0.683, 0.086, 0.1]","[29.929, -116.343, 119.563, 43.074, 61.056, -16.581, 33.343, 27.614, -17.389, -9.328, -20.724, 26.413]"
46,15.14644,0.36385,0.035,-36.913,0.06995,-35.209,0.0,"[0.489, 0.153, 1.0, 0.05, 0.087, 0.757, 0.033, 0.032, 0.032, 0.44, 0.058, 0.144]","[22.498, -103.845, 73.658, 39.644, 55.064, -23.972, 15.809, 30.277, -47.822, -26.376, -18.236, 32.046]"
47,15.51029,0.11088,0.02,-44.769,0.0506,-43.175,0.0,"[0.738, 0.634, 1.0, 0.472, 0.324, 0.682, 0.259, 0.219, 0.348, 0.969, 0.318, 0.082]","[16.656, -83.472, 34.418, -25.996, 80.546, -46.156, 22.393, 6.236, -56.351, -17.847, 8.708, 12.313]"
48,15.62118,0.18045,1.0,-43.318,0.02493,-28.117,0.0,"[0.216, 0.103, 0.125, 0.05, 0.042, 0.055, 0.043, 0.051, 0.091, 1.0, 0.124, 0.051]","[26.936, -94.934, 120.963, 112.92, 84.14, -35.71, 51.67, 37.098, 5.359, -3.392, -6.15, -9.124]"
49,15.80163,0.17905,0.951,-40.98,0.04513,-28.051,0.0,"[1.0, 0.152, 0.115, 0.066, 0.104, 0.072, 0.064, 0.08, 0.102, 0.214, 0.143, 0.067]","[27.445, -15.326, 114.423, 125.529, 37.706, -18.239, 62.275, 33.218, -1.946, -21.2, -38.657, 21.39]"
50,15.98068,0.10422,0.837,-43.322,0.05088,-32.698,0.0,"[0.187, 0.326, 0.631, 0.248, 0.102, 0.12, 0.112, 0.119, 0.133, 0.271, 1.0, 0.167]","[25.006, -150.481, 93.67, -38.824, 81.876, -13.237, 32.442, 10.431, -30.373, -0.377, 5.419, 10.593]"
51,16.0849,0.21596,0.834,-34.091,0.01856,-25.136,0.0,"[0.67, 0.41, 1.0, 0.1, 0.07, 0.123, 0.103, 0.069, 0.08, 0.229, 0.505, 0.206]","[29.4, -77.583, 91.9, 121.675, 44.85, -48.213, 33.098, 4.121, -38.357, -14.561, -28.233, 35.752]"
52,16.30086,0.22558,0.746,-39.089,0.02544,-30.823,0.0,"[0.386, 0.241, 0.509, 0.094, 0.056, 0.05, 0.1, 1.0, 0.074, 0.081, 0.211, 0.074]","[25.56, -118.154, 108.637, 72.282, 84.777, -33.352, 33.391, 30.769, 7.136, -4.033, -1.257, -25.497]"
53,16.52644,0.5342,0.747,-39.554,0.03736,-32.143,0.0,"[0.14, 0.174, 0.544, 0.166, 0.153, 1.0, 0.114, 0.145, 0.115, 0.076, 0.096, 0.089]","[23.869, -141.779, 87.651, 74.611, 125.722, -30.237, 18.352, 41.453, 5.063, 6.568, -19.595, -40.873]"
54,17.06063,0.59265,1.0,-44.062,0.12972,-26.791,0.0,"[0.171, 0.083, 0.085, 0.115, 1.0, 0.078, 0.058, 0.143, 0.062, 0.07, 0.245, 0.062]","[23.268, -142.154, 68.605, -44.609, 109.913, 45.66, 17.464, 18.439, -19.289, 24.52, -36.104, -1.813]"
55,17.65329,0.51206,1.0,-45.189,0.03649,-30.928,0.0,"[1.0, 0.096, 0.17, 0.088, 0.312, 0.134, 0.165, 0.139, 0.152, 0.249, 0.818, 0.169]","[23.597, -84.468, 9.924, 68.93, 108.923, -12.195, -29.799, 20.521, -18.844, -8.786, 0.152, -27.559]"
56,18.16535,0.2502,1.0,-47.402,0.12679,-30.796,0.0,"[0.732, 0.232, 0.223, 0.528, 0.542, 1.0, 0.652, 0.378, 0.428, 0.627, 0.208, 0.387]","[20.722, -58.425, -34.498, -178.33, 48.121, -6.812, 1.328, -3.467, 0.516, 19.611, -3.29, -1.958]"
57,18.41556,0.0732,0.815,-33.834,0.04431,-26.168,0.0,"[0.318, 0.737, 0.774, 0.755, 0.965, 1.0, 0.594, 0.571, 0.183, 0.272, 0.314, 0.319]","[32.326, -91.688, 44.6, -38.077, 26.241, -10.211, 66.213, 9.826, -1.3, 17.641, 4.75, 14.236]"
58,18.48875,0.1805,0.504,-26.443,0.14266,-16.424,0.0,"[0.635, 1.0, 0.363, 0.061, 0.075, 0.166, 0.045, 0.128, 0.611, 0.622, 0.129, 0.155]","[39.668, -48.062, 98.946, -31.195, 39.738, -25.296, 85.352, -22.974, 1.875, 4.89, 22.046, 17.834]"
59,18.66925,0.25537,0.184,-17.614,0.0847,-14.82,0.0,"[0.14, 0.167, 0.154, 0.798, 0.87, 0.769, 0.137, 0.096, 0.102, 0.187, 1.0, 0.841]","[44.027, -67.438, 120.983, 24.018, 64.541, -31.535, 66.136, -2.508, 12.168, -10.921, -3.12, 15.922]"
60,18.92463,0.24939,0.017,-18.236,0.17886,-15.574,0.0,"[0.361, 0.042, 0.054, 0.03, 0.734, 1.0, 0.073, 0.031, 0.018, 0.029, 0.013, 0.303]","[43.382, -83.246, 129.371, 4.506, 67.809, -44.679, 41.794, 24.938, 10.023, -5.559, 7.527, 5.996]"
61,19.17401,0.45918,0.06,-16.472,0.21477,-13.312,0.0,"[0.639, 0.241, 0.216, 0.169, 0.436, 1.0, 0.079, 0.087, 0.116, 0.234, 0.127, 0.378]","[43.247, -39.914, 76.92, 56.756, 73.652, -15.541, 4.355, 7.654, 10.328, 5.441, -54.282, 21.417]"
62,19.6332,0.23166,0.972,-26.946,0.06631,-12.452,0.0,"[0.799, 0.124, 0.06, 0.034, 0.054, 0.127, 0.379, 0.249, 0.039, 0.205, 0.266, 1.0]","[39.617, -79.97, 12.128, 58.187, 65.245, 27.979, -0.418, 15.498, 22.713, -5.179, -67.343, 7.208]"
